huge lightning elemental	elemental	100
huge mein golem	golem	37
huge steam elemental	elemental	99
huge water elemental	elemental	95
hulking forest ape	ape	31
humpbacked puma	puma	15
hunch-backed dogmatist	dogmatist	70
hunter troll	troll	30
ice elemental	elemental	63
ice golem	golem	53
ice hound	hound	24
ice skeleton	ice skeleton	3
ice troll	troll	29
ice wraith	wraith	45
immense gold-bristled hinterboar	hinterboar	102
imposing elk	elk	\N
infernal death knight	knight	104
iridescent kiramon shardmind	iridescent kiramon shardmind	\N
jungle feyling	feyling	24
jungle troll	troll	26
jungle troll chieftain	chieftain	30
kelp-tangled coral golem	golem	109
ki-lin	ki-lin	28
kiramon defender	defender	46
kiramon worker	worker	40
kobold	kobold	1
kobold shepherd	shepherd	3
krag dweller	dweller	72
krag yeti	yeti	70
krolvin corsair	corsair	38
krolvin mercenary	mercenary	17
krolvin slaver	slaver	36
krolvin warfarer	warfarer	25
krolvin warrior	warrior	19
krynch	krynch	31
large black cat	cat	23
large ogre	ogre	15
large ring-tailed lemur	large ring-tailed lemur	20
large thorned shrub	shrub	48
lava golem	golem	56
lava troll	troll	34
leaper	leaper	6
lesser burrow orc	orc	7
lesser construct	construct	83
lesser faeroth	faeroth	46
lesser frost shade	shade	2
lesser ghoul	ghoul	1
lesser griffin	griffin	69
lesser ice elemental	elemental	53
lesser ice giant	giant	41
lesser minotaur	minotaur	74
lesser moor wight	wight	37
lesser mummy	mummy	6
lesser orc	orc	6
lesser red orc	orc	7
lesser shade	shade	2
lesser stone gargoyle	gargoyle	27
lesser vruul	vruul	45
lesser wood sprite	sprite	30
lich	lich	110
lich qyn'arj	qyn'arj	84
lithe veiled sentinel	sentinel	96
lost soul	soul	91
luminous arachnid	arachnid	15
luminous worm	worm	16
magna vereri	vereri	72
magru	magru	37
major glacei	glacei	47
major spider	spider	20
mammoth arachnid	arachnid	30
manticore	manticore	9
martial eagle	eagle	28
masked goliath plunderer	plunderer	115
massive black boar	boar	59
massive grahnk	grahnk	20
massive pyrothag	pyrothag	58
massive troll king	king	63
mastodonic leopard	leopard	44
maw spore	spore	33
mezic	mezic	33
milky-eyed drowned mariner	mariner	106
minor glacei	glacei	42
minotaur magus	magus	78
minotaur warrior	warrior	76
mist wraith	wraith	5
mistydeep siren	siren	2
moaning phantom	phantom	2
moaning spirit	spirit	28
monastic lich	lich	27
mongrel hobgoblin	hobgoblin	5
mongrel kobold	kobold	4
mongrel troll	troll	16
mongrel wolfhound	wolfhound	16
monkey	monkey	6
monstrous direwolf	direwolf	68
moor eagle	eagle	35
moor hound	hound	33
moor witch	witch	34
mottled thrak	mottled thrak	8
moulis	moulis	75
mountain goat	goat	17
mountain lion	lion	18
mountain ogre	ogre	16
mountain rolton	rolton	1
mountain snowcat	snowcat	3
mountain troll	troll	17
mud wasp	wasp	38
muddy hog	hog	\N
murky soul siphon	siphon	106
muscular brindlecat	brindlecat	\N
muscular supplicant	supplicant	67
myklian	myklian	40
n'ecare	n'ecare	87
naisirc	naisirc	75
nasty little gremlin	nasty little gremlin	5
neartofar orc	orc	11
neartofar troll	troll	15
necrotic snake	snake	48
nedum vereri	vereri	18
night golem	golem	5
night hound	hound	24
night mare	mare	43
nightmare steed	steed	55
niirsha	niirsha	23
niveous giant warg	warg	104
nonomino	nonomino	23
ogre sentry	sentry	\N
ogre warrior	warrior	20
pale crab	crab	2
pale scaled shaper	shaper	102
pallid fog-cloaked kelpie	kelpie	112
panther	panther	15
patchwork flesh monstrosity	monstrosity	98
phantasma	phantasma	42
phantasmal bestial swordsman	swordsman	62
phantom	phantom	2
phosphorescent worm	worm	16
plains lion	lion	18
plains ogre	ogre	17
plains orc chieftain	chieftain	21
plains orc scout	scout	17
plains orc shaman	shaman	18
plains orc warrior	warrior	16
plumed cockatrice	cockatrice	13
polar bear	bear	44
pra'eda	pra'eda	29
puma	puma	15
putrefied citadel herald	herald	60
rabid guard dog	dog	10
rabid squirrel	squirrel	2
radiant-eyed goliath auramancer	auramancer	115
raider orc	orc	10
raving lunatic	lunatic	77
red bear	bear	16
red tsark	tsark	66
red-scaled thrak	thrak	48
reiver	reiver	24
relnak	relnak	3
revenant	revenant	4
ridge orc	orc	4
ridgeback boar	boar	15
roa'ter	roa'ter	41
roa'ter wormling	wormling	24
rock troll zombie	zombie	34
rolton	rolton	1
rotting chimera	chimera	46
rotting citadel arbalester	arbalester	58
rotting corpse	corpse	32
rotting farmhand	farmhand	32
rotting krolvin pirate	pirate	18
rotting woodsman	woodsman	23
sabre-tooth tiger	tiger	53
sacristan spirit	spirit	25
sand beetle	beetle	33
sand devil	devil	48
savage fork-tongued wendigo	wendigo	105
scaly burgee	burgee	29
scaly needle-toothed trenchling	trenchling	107
sea nymph	nymph	2
seeker	seeker	52
seething pestilent vision	vision	70
seraceris	seraceris	78
shadow mare	mare	37
shadow steed	steed	38
shambling lurk	lurk	95
shan bardess	bardess	62
shan cleric	cleric	42
shan empath	empath	60
shan ranger	ranger	42
shan rogue	rogue	66
shan shaman	shaman	64
shan sorceress	sorceress	58
shan warrior	warrior	42
shan wizard	wizard	42
shelfae assailant	assailant	\N
shelfae chieftain	chieftain	11
shelfae guard	guard	7
shelfae soldier	soldier	7
shelfae warlord	warlord	18
shimmering fungus	fungus	35
shrickhen	shrickhen	76
shriveled icy creeper	creeper	50
sidewinder	sidewinder	98
silver-scaled cold wyrm	silver-scaled cold wyrm	120
silverback orc	orc	14
siren	siren	96
siren lizard	lizard	42
skayl	skayl	54
skeletal giant	giant	33
skeletal ice troll	troll	31
skeletal lord	lord	41
skeletal soldier	soldier	34
skeletal warhorse	warhorse	37
skeleton	skeleton	1
sleek black kiramon stalker	stalker	108
slimy little grub	grub	1
smouldering skeletal dreadsteed	dreadsteed	103
snow crone	crone	36
snow leopard	leopard	27
snow madrinol	madrinol	52
snow spectre	spectre	9
snowy cockatrice	cockatrice	6
soldier ant	ant	5
soul golem	golem	63
spectacled bear	bear	\N
spectral black warhorse	warhorse	35
spectral fisherman	fisherman	6
spectral lord	lord	36
spectral miner	miner	40
spectral monk	monk	25
spectral shade	shade	35
spectral triton defender	defender	98
spectral triton protector	protector	98
spectral warrior	warrior	34
spectral woodsman	woodsman	35
spectre	spectre	14
spiked cavern urchin	urchin	17
spotted gak	gak	2
spotted gnarp	gnarp	1
spotted leaper	leaper	4
spotted lynx	lynx	6
spotted velnalin	spotted velnalin	3
steam dervish	dervish	84
steel golem	golem	20
stone gargoyle	gargoyle	39
stone giant	giant	58
stone mastiff	mastiff	62
stone sentinel	sentinel	53
stone troll	troll	55
stooped being	being	82
stooped titan stormcaller	stormcaller	81
storm giant	giant	39
storm griffin	griffin	73
storm hound	hound	24
striped gak	gak	3
striped relnak	relnak	3
striped warcat	warcat	20
stunted halfling bloodspeaker	bloodspeaker	103
supple ivasian inciter	inciter	66
swamp hag	hag	42
swamp troll	troll	14
swirling spectre	spectre	37
tattooed gigas berserker	berserker	103
tawny armor-clad pegasus	pegasus	115
tawny brindlecat	brindlecat	13
tegursh sentry	sentry	30
tenebrific wraith shark	shark	110
thrak	thrak	8
three-toed tegu	tegu	33
thunder troll	troll	18
thyril	thyril	2
titan tempest tyrant	tyrant	83
tomb troll	troll	52
tomb troll necromancer	necromancer	54
tomb wight	wight	15
translucent kiramon strandweaver	strandweaver	110
tree spirit	spirit	26
tree viper	viper	24
treekin druid	druid	83
treekin sapling	sapling	\N
treekin warrior	warrior	80
triton assassin	assassin	96
triton brawler	brawler	98
triton combatant	combatant	98
triton dissembler	dissembler	94
triton executioner	executioner	96
triton fanatic	fanatic	100
triton magus	magus	102
triton radical	radical	100
triton warden	warden	102
triton warlock	warlock	94
troglodyte	troglodyte	3
troll chieftain	chieftain	27
troll wraith	wraith	35
tundra giant	giant	34
tusked ursian	ursian	37
twisted being	being	82
undertaker bat	bat	36
urgh	urgh	4
vaespilon	vaespilon	93
vapor hound	hound	24
velnalin	velnalin	3
vesperti	vesperti	38
veteran reiver	reiver	24
vourkha	vourkha	39
waern	waern	49
wall guardian	guardian	11
war griffin	griffin	100
war troll	troll	18
warped tree spirit	spirit	68
warrior shade	shade	48
warthog	warthog	22
wasp nest	nest	43
water elemental	elemental	92
water hound	hound	24
water moccasin	moccasin	4
water witch	witch	5
water wyrd	wyrd	35
werebear	werebear	10
wharf rat	rat	\N
whiptail	whiptail	4
white vysan	vysan	3
wild hound	wild hound	31
wind witch	witch	16
wind wraith	wraith	63
winged viper	viper	60
wolfshade	wolfshade	15
wolverine	wolverine	24
wood sprite	sprite	38
wood wight	wight	20
wooly mammoth	mammoth	52
wraith	wraith	15
writhing frost-glazed vine	vine	40
writhing icy bush	bush	36
yeti	yeti	67
young grass snake	snake	1
zombie	zombie	23
zombie rolton	rolton	1
