cannot-drag	^You can't drag
slipped	you slip (?:on a patch of ice )?and flail uselessly as you land on your rear(?:\.|!)$
still-recovering	^You're still recovering from your recent
stunned	You\ are\ still\ stunned\.
swim-failed	^Running through the swampy terrain, you notice a wet patch in the bog
swim-failed	^You blunder around in the water, barely able
swim-failed	^You dive into the fast-moving river, but the current catches you and whips you back to shore, wet and battered\.$
swim-failed	^You flounder around in the water.$
swim-failed	^You slap at the water in a sad failure to swim
swim-failed	^You struggle against the swift current to swim
swim-failed	^You work against the swift current to swim
swimming	^(?:You swim .*, (?:cutting through|navigating)|You swim .*, struggling against|Your lungs burn and your muscles ache)
thread-tumble	^You begin to climb up the silvery thread.* you tumble to the ground
too-injured-to-climb	You\ are\ too\ injured\ to\ be\ doing\ any\ climbing!
transient-refusal	^A shimmering field of magical crimson and gold energy flows through the area\.$
transient-refusal	^As you start .*? back to safe ground\.$
transient-refusal	^Guards(?:wo)?man [A-Z][a-z]+ stops you and says, "(?:Stop\.|Halt!)  You need to make sure you check in
transient-refusal	^Tentatively, you attempt to swim through the nook\.  After only a few feet, you begin to sink!  Your lungs burn from lack of air, and you begin to panic!  You frantically paddle back to safety!$
transient-refusal	^Trying to judge the climb, you peer over the edge\.\s*A wave of dizziness hits you, and you back away from the .*\.$
transient-refusal	^You approach the .*, but the steepness is intimidating\.$
transient-refusal	^You attempt to navigate your way through the fog, but (?:quickly become entangled|get turned around)
transient-refusal	^You grab [A-Z][a-z]+ and try to drag h(?:im|er), but s?he (?:is too heavy|doesn't budge)\.$
transient-refusal	^You make your way (?:up|down) the .*\.\s*Partway (?:up|down), you make the mistake of looking down\. Struck by vertigo, you cling to the .* for a few moments, then slowly climb back (?:up|down)\.$
transient-refusal	^You pick your way up the .*, but reach a point where your footing is questionable.\s*Reluctantly, you climb back down.$
transient-refusal	^You step into the root, but can see no way to climb the slippery tendrils inside\.  After a moment, you step back out\.$
transient-refusal	^You stumble a bit as you try to enter the pool but feel that your persistence will pay off\.$
type-ahead-refused	^Sorry, you may only type ahead
wait-n-seconds	^(\.\.\.w|W)ait ([0-9]+) sec(onds)?\.$
way-is-closed	(?:appears|seems) to be closed\.$
way-is-closed	^You cannot quite manage to squeeze between the stone doors\.$
wrong-door	^You (?:take a few steps toward|trudge up to|limp towards|march up to|sashay gracefully up to|skip happily towards|sneak up to|stumble toward) a rusty doorknob
