noun	base	skill
grab-stabber	paingrip	Brawling
greataxe	battle axe	Two-Handed Weapons
greatsword	two-handed sword	Two-Handed Weapons
guisarme	halberd	Polearm Weapons
hakapik	crowbill	Blunt Weapons
halberd	halberd	Polearm Weapons
half moon	halberd	Polearm Weapons
half-moon	halberd	Polearm Weapons
hammer of kai	hammer of kai	Polearm Weapons
hammerbeak	war hammer	Blunt Weapons
hand crossbow	hand crossbow	Ranged Weapons
hand-hook	fist-scythe	Brawling
handaxe	handaxe	Edged Weapons
harpoon	spear	Polearm Weapons
hasta	spear	Polearm Weapons
hatchet	handaxe	Edged Weapons
heavy arbalest	heavy crossbow	Ranged Weapons
heavy crossbow	heavy crossbow	Ranged Weapons
heavy crossbow bolt	heavy crossbow bolt	Ranged Weapons
hektov sket	battle axe	Two-Handed Weapons
hippe	halberd	Polearm Weapons
holy water sprinkler	morning star	Blunt Weapons
hook	fist-scythe	Brawling
hook-claw	fist-scythe	Brawling
hook-knife	hook-knife	Brawling
hoolurge	war hammer	Blunt Weapons
horseman's hammer	war hammer	Blunt Weapons
hunting axe	handaxe	Edged Weapons
hunting dagger	dagger	Edged Weapons
hunting hatchet	handaxe	Edged Weapons
ice axe	handaxe	Edged Weapons
jackblade	jackblade	Brawling
jaculum	javelin	Polearm Weapons
javelin	javelin	Polearm Weapons
jeddart-axe	jeddart-axe	Polearm Weapons
jitte	sai	Brawling
jo stick	cudgel	Blunt Weapons
kaiken	dagger	Edged Weapons
kama	fist-scythe	Brawling
kaskara	longsword	Edged Weapons
katar	katar	Brawling
katzbalger	broadsword	Edged Weapons
kerambit	halberd	Polearm Weapons
kheten	battle axe	Two-Handed Weapons
khopesh	falchion	Edged Weapons
kidney dagger	dagger	Edged Weapons
kilij	scimitar	Edged Weapons
kiss-of-ivas	falchion	Edged Weapons
knee-breaker	mace	Blunt Weapons
knife	dagger	Edged Weapons
knopkierie	javelin	Polearm Weapons
knuckle-blade	knuckle-blade	Brawling
knuckle-duster	knuckle-duster	Brawling
knuckle-guard	knuckle-duster	Brawling
koncerz	estoc	Edged Weapons
kopis	falchion	Edged Weapons
korseke	awl-pike	Polearm Weapons
kozuka	dagger	Edged Weapons
kris	short sword	Edged Weapons
krizta	dagger	Edged Weapons
kubikiri	dagger	Edged Weapons
kukri	short sword	Edged Weapons
kumade	troll-claw	Brawling
kunai	katar	Brawling
kurutai	bola	Thrown Weapons
kurzsax	broadsword	Edged Weapons
kut'ziko	heavy crossbow	Ranged Weapons
kut'zikokra	light crossbow	Ranged Weapons
lance	lance	Polearm Weapons
lancea	javelin	Polearm Weapons
langsax	longsword	Edged Weapons
langseax	longsword	Edged Weapons
leather whip	leather whip	Blunt Weapons
light arbalest	light crossbow	Ranged Weapons
light crossbow	light crossbow	Ranged Weapons
light crossbow bolt	light crossbow bolt	Ranged Weapons
limb-cleaver	handaxe	Edged Weapons
lisan	cudgel	Blunt Weapons
logging axe	handaxe	Edged Weapons
long bow	long bow	Ranged Weapons
long recurve bow	long bow	Ranged Weapons
longbow	long bow	Ranged Weapons
longhammer	hammer of kai	Polearm Weapons
longsword	longsword	Edged Weapons
lutk'azi	composite bow	Ranged Weapons
lutk'quoab	long bow	Ranged Weapons
mace	mace	Blunt Weapons
mace and chain	ball and chain	Blunt Weapons
machera	broadsword	Edged Weapons
machete	falchion	Edged Weapons
magari-yari	trident	Polearm Weapons
main gauche	main gauche	Edged Weapons
manople	katar	Brawling
massuelle	mace	Blunt Weapons
mattina	mace	Blunt Weapons
mattock	war mattock	Two-Handed Weapons
maul	maul	Two-Handed Weapons
meat cleaver	handaxe	Edged Weapons
mekya ne'rutka	two-handed sword	Two-Handed Weapons
mekya t'rhet	longsword	Edged Weapons
military flail	flail	Two-Handed Weapons
military fork	awl-pike	Polearm Weapons
military pick	military pick	Two-Handed Weapons
miner's axe	handaxe	Edged Weapons
mining pick	military pick	Two-Handed Weapons
misericord	dagger	Edged Weapons
moon axe	handaxe	Edged Weapons
morning star	morning star	Blunt Weapons
mortuary sword	backsword	Edged Weapons
nage-yari	javelin	Polearm Weapons
nagimaki	jeddart-axe	Polearm Weapons
naginata	naginata	Polearm Weapons
nagyka	dart	Thrown Weapons
nifa otti	mace	Blunt Weapons
niima's-embrace	short sword	Edged Weapons
no-dachi	two-handed sword	Two-Handed Weapons
oncin	war mattock	Two-Handed Weapons
ono	handaxe	Edged Weapons
ox mace	mace	Blunt Weapons
paingrip	paingrip	Brawling
paiscush	katar	Brawling
palache	broadsword	Edged Weapons
palache	scimitar	Edged Weapons
parazonium	dagger	Edged Weapons
parrying dagger	main gauche	Edged Weapons
partisan	spear	Polearm Weapons
partizan	spear	Polearm Weapons
pastoral staff	runestaff	Runestaff
pata	katar	Brawling
pavade	dagger	Edged Weapons
pelta	javelin	Polearm Weapons
periperiu	cudgel	Blunt Weapons
pernat	mace	Blunt Weapons
pickaxe	war mattock	Two-Handed Weapons
pike	lance	Polearm Weapons
pill	spear	Polearm Weapons
pilum	pilum	Polearm Weapons
pit-knife	hook-knife	Brawling
pitch fork	trident	Polearm Weapons
pitchfork	trident	Polearm Weapons
poignard	dagger	Edged Weapons
pole axe	halberd	Polearm Weapons
pole-axe	halberd	Polearm Weapons
poleaxe	jeddart-axe	Polearm Weapons
polehammer	hammer of kai	Polearm Weapons
pugio	dagger	Edged Weapons
push dagger	dagger	Edged Weapons
quadrelle	mace	Blunt Weapons
quarterstaff	quarterstaff	Two-Handed Weapons
quoit	quoit	Thrown Weapons
raiding axe	handaxe	Edged Weapons
ranseur	awl-pike	Polearm Weapons
rapier	rapier	Edged Weapons
razorpaw	razorpaw	Brawling
reaver	flamberge	Two-Handed Weapons
repeating crossbow (for use on mechanical crossbows only)	light crossbow	Ranged Weapons
repeating crossbow (only for use on mechanical crossbows)	heavy crossbow	Ranged Weapons
ridgemace	mace	Blunt Weapons
riding sword	backsword	Edged Weapons
roa'ter axe	battle axe	Two-Handed Weapons
rune staff	runestaff	Runestaff
runestaff	runestaff	Runestaff
runka	awl-pike	Polearm Weapons
sabar	war mattock	Two-Handed Weapons
sabiet	hook-knife	Brawling
sabre	scimitar	Edged Weapons
sai	sai	Brawling
sap	blackjack	Brawling
sapara	scimitar	Edged Weapons
sarissa	lance	Polearm Weapons
scaling fork	awl-pike	Polearm Weapons
scepter	runestaff	Runestaff
schiavona	broadsword	Edged Weapons
schlager	rapier	Edged Weapons
scimitar	scimitar	Edged Weapons
scorpion	halberd	Polearm Weapons
scramasax	dagger	Edged Weapons
scythe	halberd	Polearm Weapons
seax	broadsword	Edged Weapons
sgian achlais	dagger	Edged Weapons
sgian dubh	dagger	Edged Weapons
shail	javelin	Polearm Weapons
shamshir	scimitar	Edged Weapons
sheering sword	longsword	Edged Weapons
shield-breaker	pilum	Polearm Weapons
shield-sunderer	pilum	Polearm Weapons
shield-sword	main gauche	Edged Weapons
shillelagh	cudgel	Blunt Weapons
short bow	short bow	Ranged Weapons
short recurve bow	short bow	Ranged Weapons
short sword	short sword	Edged Weapons
sica	short sword	Edged Weapons
sickle	fist-scythe	Brawling
sidearm-of-onar	dagger	Edged Weapons
sidesword	backsword	Edged Weapons
siege crossbow	heavy crossbow	Ranged Weapons
signal whip	leather whip	Blunt Weapons
single-tail whip	leather whip	Blunt Weapons
sitka	arrow	Ranged Weapons
skull-crusher	war hammer	Blunt Weapons
skull-piercer	crowbill	Blunt Weapons
slap-slasher	razorpaw	Brawling
slash-fist	knuckle-blade	Brawling
slash-jack	jackblade	Brawling
slasher	katar	Brawling
sledgehammer	maul	Two-Handed Weapons
spadroon	broadsword	Edged Weapons
sparte	handaxe	Edged Weapons
spatha	broadsword	Edged Weapons
spear	spear	Polearm Weapons
spetum	awl-pike	Polearm Weapons
spiculum	javelin	Polearm Weapons
spike	dagger	Edged Weapons
spike-fist	yierka-spur	Brawling
spiked mace	morning star	Blunt Weapons
spiked-hammer	hammer of kai	Polearm Weapons
spiked-staff	flail	Two-Handed Weapons
spikestar	morning star	Blunt Weapons
splitting axe	handaxe	Edged Weapons
spontoon	spear	Polearm Weapons
staff	quarterstaff	Two-Handed Weapons
staff	runestaff	Runestaff
staff-of-lumnis	runestaff	Runestaff
stiletto	dagger	Edged Weapons
studded mace	mace	Blunt Weapons
sudis	lance	Polearm Weapons
sword-breaker	main gauche	Edged Weapons
sword-of-phoen	flamberge	Two-Handed Weapons
swordstaff	naginata	Polearm Weapons
taavish	war hammer	Blunt Weapons
tabar	battle axe	Two-Handed Weapons
tachi	longsword	Edged Weapons
takouba	falchion	Edged Weapons
talon sword	broadsword	Edged Weapons
tambara	cudgel	Blunt Weapons
tanto	dagger	Edged Weapons
taper	handaxe	Edged Weapons
tetsubo	maul	Two-Handed Weapons
thrak-bite	tiger-claw	Brawling
throwing axe	handaxe	Edged Weapons
throwing disc	discus	Thrown Weapons
throwing net	throwing net	Thrown Weapons
tiger-claw	tiger-claw	Brawling
tizona	rapier	Edged Weapons
tock	rapier	Edged Weapons
tocke	rapier	Edged Weapons
tomahawk	handaxe	Edged Weapons
toporok	handaxe	Edged Weapons
toyak	quarterstaff	Two-Handed Weapons
trail knife	dagger	Edged Weapons
trailknife	dagger	Edged Weapons
training whip	leather whip	Blunt Weapons
trident	trident	Polearm Weapons
troll-claw	troll-claw	Brawling
truncheon	cudgel	Blunt Weapons
tuck	rapier	Edged Weapons
tvekre	katar	Brawling
two-handed sword	two-handed sword	Two-Handed Weapons
twohanded sword	two-handed sword	Two-Handed Weapons
verdun	rapier	Edged Weapons
verutum	spear	Polearm Weapons
voulge	jeddart-axe	Polearm Weapons
waihaka	cudgel	Blunt Weapons
wakizashi	short sword	Edged Weapons
walking staff	quarterstaff	Two-Handed Weapons
walking stick	runestaff	Runestaff
war club	cudgel	Blunt Weapons
war hammer	war hammer	Blunt Weapons
war mattock	war mattock	Two-Handed Weapons
war-quoit	quoit	Thrown Weapons
waraxe	handaxe	Edged Weapons
warblade	falchion	Edged Weapons
warlance	lance	Polearm Weapons
warpike	lance	Polearm Weapons
warstaff	quarterstaff	Two-Handed Weapons
warsword	bastard sword	Edged Weapons
wave-bladed sword	flamberge	Two-Handed Weapons
weighted-cord	bola	Thrown Weapons
whip	leather whip	Blunt Weapons
whip-blade	whip-blade	Blunt Weapons
wight-claw	troll-claw	Brawling
woodsman's axe	battle axe	Two-Handed Weapons
xiphos	broadsword	Edged Weapons
yari	spear	Polearm Weapons
yataghan	scimitar	Edged Weapons
yierka-spur	yierka-spur	Brawling
yoribo	quarterstaff	Two-Handed Weapons
yumi	long bow	Ranged Weapons
zevt'zko	heavy crossbow bolt	Ranged Weapons
zevt'zkokra	light crossbow bolt	Ranged Weapons
zinnor	trident	Polearm Weapons
zirah bouk	dagger	Edged Weapons
zweihander	two-handed sword	Two-Handed Weapons
